"subject"	"block"	"trial"	"cue"	"cond"	"is_common"	"outcome_go"	"outcome_nogo"	"key_correct"	"key_pressed"	"is_correct"	"outcome"	"rt"	"shocked"	"tdcs"
15	3	162	4	"nogo_reward"	1	0	1	0	0	1	1	NA	NA	1
15	3	163	1	"go_punish"	1	0	-1	1	1	1	0	0.411613099975511	NA	1
15	3	164	2	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
15	3	165	1	"go_punish"	1	0	-1	1	0	0	-1	NA	0	1
15	3	166	1	"go_punish"	1	0	-1	1	0	0	-1	NA	1	1
15	3	167	4	"nogo_reward"	0	1	0	0	0	1	0	NA	NA	1
15	3	168	4	"nogo_reward"	0	1	0	0	0	1	0	NA	NA	1
15	3	169	4	"nogo_reward"	1	0	1	0	0	1	1	NA	NA	1
15	3	170	3	"go_reward"	1	1	0	1	1	1	1	0.250562899978831	NA	1
15	3	171	4	"nogo_reward"	1	0	1	0	0	1	1	NA	NA	1
15	3	172	3	"go_reward"	0	0	1	1	1	1	0	0.279658600222319	NA	1
15	3	173	3	"go_reward"	0	0	1	1	1	1	0	0.940304599935189	NA	1
15	3	174	2	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
15	3	175	1	"go_punish"	0	-1	0	1	1	1	-1	0.792632800061256	1	1
15	3	176	3	"go_reward"	1	1	0	1	1	1	1	0.272178099956363	NA	1
15	3	177	4	"nogo_reward"	0	1	0	0	0	1	0	NA	NA	1
15	3	178	2	"nogo_punish"	0	0	-1	0	0	1	-1	NA	1	1
15	3	179	4	"nogo_reward"	1	0	1	0	0	1	1	NA	NA	1
15	3	180	4	"nogo_reward"	1	0	1	0	0	1	1	NA	NA	1
30	1	1	1	"nogo_reward"	1	0	1	0	0	1	1	NA	NA	1
30	1	2	2	"go_punish"	0	-1	0	1	1	1	-1	0.415689700050279	1	1
30	1	3	4	"go_reward"	0	0	1	1	1	1	0	0.357015900081024	NA	1
30	1	4	3	"nogo_punish"	1	-1	0	0	1	0	-1	0.316579399863258	0	1
30	1	5	2	"go_punish"	0	-1	0	1	1	1	-1	0.447302900021896	0	1
30	1	6	1	"nogo_reward"	1	0	1	0	1	0	0	0.281801499892026	NA	1
30	1	7	1	"nogo_reward"	1	0	1	0	1	0	0	0.301773099927232	NA	1
30	1	8	3	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
30	1	9	2	"go_punish"	0	-1	0	1	0	0	0	NA	NA	1
30	1	10	2	"go_punish"	1	0	-1	1	0	0	-1	NA	1	1
30	1	11	1	"nogo_reward"	1	0	1	0	0	1	1	NA	NA	1
